practice,lat,lon
A81005,,
A81006,,
A81007,,
A81008,,
A81009,,
A81043,54.557407,-1.15926
A81039,54.520079,-1.348115
A81023,,
A81042,54.570013,-1.166596
A81004,,
D83074,52.057365,1.162381
A81022,,
A81035,54.571919,-1.226251
A81010,,
A81053,54.553923,-0.886803
A81038,54.571702,-1.216355
A81037,54.575381,-1.236519
A81011,,
A81013,,
A81014,,
A81032,54.532619,-1.055444
A81015,,
A81016,,
A81017,,
A81025,,
A81019,,
A81057,54.60647,-1.288776
A81044,54.672432,-1.210401
A81048,54.591713,-1.016408
A81021,,
A81036,54.588747,-1.308768
A81045,,
A81046,54.561407,-1.321198
A81047,54.59283,-1.021086
A81051,54.554162,-1.252299
A81054,54.616294,-1.073638
A81056,54.609409,-1.287316
A81065,54.571269,-1.167607
A81003,,
Y00836,53.807312,-1.519082
A81069,54.599299,-1.068838
A81070,54.660764,-1.236454
A81605,54.614798,-1.055585
A81610,54.611738,-1.29223
A81611,54.524817,-1.213775
A82015,54.893838,-2.928513
A82029,54.897147,-3.202843
A82032,54.706439,-3.494532
A81612,54.661406,-1.188679
A82025,54.323792,-2.748078
A82028,54.597707,-3.134576
A82027,54.331968,-2.739738
A82014,54.749879,-3.050673
A81613,54.685145,-1.218111
A81618,54.582812,-0.974706
A82011,54.116763,-3.229279
A82010,54.123796,-3.217399
A82013,54.474746,-2.349923
A82016,54.89366,-2.930692
A82009,54.114339,-3.208692
A82020,54.89421,-2.952455
A82018,54.894896,-2.931126
A81620,54.608303,-1.294813
A82019,54.890637,-2.922874
A82030,54.20061,-2.60226
A82026,54.330273,-2.747966
A82003,54.198898,-3.097971
A82034,54.227287,-2.770704
A82007,54.110344,-3.22505
A82023,54.595304,-3.541351
A81622,54.685622,-1.21818
A81623,54.571942,-1.312083
A82005,54.43505,-2.966344
A82006,54.578045,-2.492966
E84667,51.533097,-0.205715
E81014,51.885679,-0.519285
E81016,51.891928,-0.451475
A81067,54.569601,-1.31766
A82039,54.155925,-3.179815
A82046,54.370835,-2.913376
A82047,54.644649,-3.550347
A82048,54.642373,-3.54558
A82050,54.643695,-3.550481
A82052,54.907418,-2.937701
A82053,54.197905,-2.903975
A82055,54.762138,-3.338072
A82613,54.367255,-3.07608
A82618,55.01051,-2.964389
A82071,54.10716,-3.254905
A82058,54.546574,-3.589064
A82617,54.763786,-2.692582
A82063,54.602078,-3.138119
A82060,54.545962,-3.588422
E85008,51.486391,-0.199369
E85018,51.483967,-0.382365
A82064,54.4831,-3.528684
E81015,52.00516,-0.49374
A82607,54.667175,-3.358454
A82646,55.01051,-2.964389
A82061,,
A82070,54.380773,-2.908839
A82065,54.175203,-2.973064
A82074,54.200296,-2.832914
A82641,54.893088,-2.926765
A82608,54.322373,-2.535301
A82620,54.544046,-2.950786
A82619,54.15721,-3.18175
A82622,54.319727,-2.525797
A82623,54.642756,-3.551468
A82625,54.236974,-3.057494
A82632,54.893088,-2.926765
A82624,54.370835,-2.913376
A82645,54.116763,-3.229279
D83608,52.456941,1.715511
L85607,51.115114,-2.995883
